objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
discgolf011,img_2629.jpg,,Shark,image/jpeg,Orange Innova Shark,Innova,,2019,yes,single-page; photographs,Orange Discs; Animals,Dick's Sporting Goods,35.7796,-78.6382,,Johnny Shanahan,Johnny Shanahan's iPhone,,OIS,OIS-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf012,img_2630.jpg,,Truth,image/jpeg,Multicolor Dynamic Truth,Dynamic Discs,,2023,yes,single-page; photographs,Multicolor Discs; Animals; Premium Plastic,Dynamic Discs,38.4039,-96.1817,,Johnny Shanahan,Johnny Shanahan's iPhone,,MDT,MDT-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf013,img_2631.jpg,,Runway,image/jpeg,Multicolor Streamline Runway,Streamline,,2022,yes,single-page; photographs,Multicolor Discs; Plain Designs; Premium Plastic,Play it Again Sports,35.7796,-78.6382,,Johnny Shanahan,Johnny Shanahan's iPhone,,MSR,MSR-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf014,img_2632.jpg,,Leopard,image/jpeg,Red Innova Leopard,Innova,,2022,yes,single-page; photographs,Red Discs; Animals,Dick's Sporting Goods,35.7796,-78.6382,,Johnny Shanahan,Johnny Shanahan's iPhone,,RIL,RIL-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf015,img_2633.jpg,,Cheetah,image/jpeg,Blue Innova Cheetah,Innova,,2023,yes,single-page; photographs,Blue Discs; Animals,Yeet Street Discs,35.8235,-78.8256,,Johnny Shanahan,Johnny Shanahan's iPhone,,BIC,BIC-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf016,img_2634.jpg,,Valkyrie,image/jpeg,Blue Innova Valkyrie,Innova,,2023,yes,single-page; photographs,Blue Discs; Animals; Store Disc,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,BIV,BIV-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf017,img_2635.jpg,,Underworld,image/jpeg,Grey Westside Underworld,Westside,,2023,yes,single-page; photographs,Grey Discs,Yeet Street Discs,35.8235,-78.8256,,Johnny Shanahan,Johnny Shanahan's iPhone,,GWU,GWU-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf018,img_2636.jpg,,Mamba,image/jpeg,White Innova Mamba,Innova,,2022,yes,single-page; photographs,White Discs; Animals,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,WIM,WIM-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf019,img_2637.jpg,,Defender,image/jpeg,Blue Dynamic Defender,Dynamic Discs,,2023,yes,single-page; photographs,Blue Discs; Plain Designs; Signature Discs; Premium Plastic,Unknown,,,,Johnny Shanahan,Johnny Shanahan's iPhone,,BDD,BDD-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf020,img_2638.jpg,,Buzzz,image/jpeg,Green Discraft Buzzz,Discraft,,2023,yes,single-page; photographs,Green Discs; Plain Designs; Premium Plastic,Yeet Street Discs,35.8235,-78.8256,,Johnny Shanahan,Johnny Shanahan's iPhone,,GDB,GDB-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf021,img_2639.jpg,,Manta,image/jpeg,Pink Innova Manta,Innova,,2022,yes,single-page; photographs,Pink Discs; Animals,Play it Again Sports,35.7796,-78.6382,,Johnny Shanahan,Johnny Shanahan's iPhone,,PIM,PIM-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf022,img_2640.jpg,,Warship,image/jpeg,Blue Westside Warship,Westside,,2023,yes,single-page; photographs,Blue Discs,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,BWW,BWW-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
